timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:46:43.148Z,OK,archive-product,1.20 Mulberry Walks\FP1.20 Mulberry Walks 2019 Decorations - low res.pdf,prospects-and-clients-product-c044accb9f/1.20 Mulberry Walks/FP1.20 Mulberry Walks 2019 Decorations - low res.pdf,2427709,
2026-01-19T10:46:52.850Z,OK,archive-product,1.20 Mulberry Walks\FP1.20 Mulberry Walks 2019 Decorations.pdf,prospects-and-clients-product-c044accb9f/1.20 Mulberry Walks/FP1.20 Mulberry Walks 2019 Decorations.pdf,11491201,
2026-01-19T10:47:19.537Z,OK,archive-people,1.20 Mulberry Walks\FP1.20 Mulberry Walks 2019 Decorations.pptx,prospects-and-clients-people-c044accb9f/1.20 Mulberry Walks/FP1.20 Mulberry Walks 2019 Decorations.pptx,29944459,
2026-01-19T10:47:20.221Z,OK,archive-people,1.20 Mulberry Walks\FP1.20 Mulberry walks product list.docx,prospects-and-clients-people-c044accb9f/1.20 Mulberry Walks/FP1.20 Mulberry walks product list.docx,14445,
2026-01-19T10:47:20.221Z,SKIP,,1.20 Mulberry Walks\Thumbs.db,,61440,SKIP_skip_ext:.db
2026-01-19T10:47:20.453Z,OK,archive-people,1.21 MK1\1.21 - 2014 Decorations Plan - Workings v1.xls,prospects-and-clients-people-c044accb9f/1.21 MK1/1.21 - 2014 Decorations Plan - Workings v1.xls,80896,
2026-01-19T10:47:21.469Z,OK,archive-product,1.21 MK1\1.21 2014 - MK1 Proposal v1.pdf,prospects-and-clients-product-c044accb9f/1.21 MK1/1.21 2014 - MK1 Proposal v1.pdf,1083327,
2026-01-19T10:47:23.227Z,OK,archive-people,1.21 MK1\1.21 2014 - MK1 Proposal v1.pptx,prospects-and-clients-people-c044accb9f/1.21 MK1/1.21 2014 - MK1 Proposal v1.pptx,2062271,
2026-01-19T10:47:23.527Z,OK,archive-performance,1.21 MK1\curtain light.jpg,prospects-and-clients-performance-c044accb9f/1.21 MK1/curtain light.jpg,23364,
2026-01-19T10:47:24.867Z,OK,archive-performance,1.21 MK1\Dsc04243.jpg,prospects-and-clients-performance-c044accb9f/1.21 MK1/Dsc04243.jpg,1069452,
2026-01-19T10:47:26.021Z,OK,archive-performance,1.21 MK1\Dsc04244.jpg,prospects-and-clients-performance-c044accb9f/1.21 MK1/Dsc04244.jpg,1041914,
2026-01-19T10:47:27.086Z,OK,archive-performance,1.21 MK1\Dsc04247.jpg,prospects-and-clients-performance-c044accb9f/1.21 MK1/Dsc04247.jpg,1062010,
2026-01-19T10:47:34.314Z,OK,archive-people,1.21 MK1\Milton Keynes\Christmas2019 brief4.pptx,prospects-and-clients-people-c044accb9f/1.21 MK1/Milton Keynes/Christmas2019 brief4.pptx,8204011,
2026-01-19T10:47:34.739Z,OK,archive-product,1.21 MK1\Milton Keynes\proposal The Centre MK 06052014.pdf,prospects-and-clients-product-c044accb9f/1.21 MK1/Milton Keynes/proposal The Centre MK 06052014.pdf,267311,
2026-01-19T10:47:35.402Z,OK,archive-product,1.21 MK1\Milton Keynes\proposal The Centre MK 2014.pdf,prospects-and-clients-product-c044accb9f/1.21 MK1/Milton Keynes/proposal The Centre MK 2014.pdf,269738,
2026-01-19T10:47:37.142Z,OK,archive-product,1.21 MK1\Milton Keynes\thecentremk.pdf,prospects-and-clients-product-c044accb9f/1.21 MK1/Milton Keynes/thecentremk.pdf,1511198,
2026-01-19T10:47:38.684Z,OK,archive-product,1.21 MK1\Milton Keynes\thecentremk_20140424.pdf,prospects-and-clients-product-c044accb9f/1.21 MK1/Milton Keynes/thecentremk_20140424.pdf,1475432,
